GENESIS-Tabelle: 13211-0002
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen,;;;;;;;;
Kurzarbeiter, Kurzarbeitende Betriebe: Deutschland/;;;;;;;;
Früheres Bundesgebiet/Neue Länder, Monate;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
;;;Anzahl;Prozent;Prozent;Anzahl;Anzahl;Anzahl
Früheres Bundesgebiet;2020;Juli;2247292;6,0;6,6;445907;2837287;266801
Früheres Bundesgebiet;2020;August;2290024;6,1;6,7;456005;2170472;227685
Früheres Bundesgebiet;2020;September;2205266;5,9;6,5;463405;1924078;204737
Früheres Bundesgebiet;2020;Oktober;2134514;5,7;6,3;473931;1747843;194142
Früheres Bundesgebiet;2020;November;2082262;5,6;6,1;472306;2022386;253529
Früheres Bundesgebiet;2020;Dezember;2081989;5,6;6,1;459766;2358666;313535
Früheres Bundesgebiet;2021;Januar;2228400;6,0;6,6;446357;2992695;371672
Früheres Bundesgebiet;2021;Februar;2228508;6,0;6,6;460003;3086757;383313
Früheres Bundesgebiet;2021;März;2165987;5,8;6,4;481748;2475812;312213
Früheres Bundesgebiet;2021;April;2122798;5,7;6,2;498276;2134993;275168
Früheres Bundesgebiet;2021;Mai;2059117;5,5;6,0;519406;1931764;257337
Früheres Bundesgebiet;2021;Juni;2008642;5,4;5,9;550883;1281875;181638
Früheres Bundesgebiet;2021;Juli;1991446;5,3;5,8;595296;900461;125444
Früheres Bundesgebiet;2021;August;1987476;5,3;5,8;624160;704403;103238
Früheres Bundesgebiet;2021;September;1895953;5,1;5,6;642320;713478;90927
Früheres Bundesgebiet;2021;Oktober;1825918;4,9;5,4;649185;650022;78288
Früheres Bundesgebiet;2021;November;1778937;4,8;5,2;649571;625682;78552
Früheres Bundesgebiet;2021;Dezember;1780399;4,8;5,2;640744;749597;111289
Früheres Bundesgebiet;2022;Januar;1879471;5,0;5,5;637705;861064;119783
Früheres Bundesgebiet;2022;Februar;1851011;5,0;5,4;661916;840568;120018
Früheres Bundesgebiet;2022;März;1799708;4,8;5,3;675729;692185;93476
Früheres Bundesgebiet;2022;April;1761639;4,7;5,2;688526;368322;46141
Früheres Bundesgebiet;2022;Mai;1725446;4,6;5,0;700802;265463;35711
Früheres Bundesgebiet;2022;Juni;1809470;4,9;5,3;711995;194464;28941
Früheres Bundesgebiet;2022;Juli;1894564;5,1;5,5;715654;96870;5464
Früheres Bundesgebiet;2022;August;1955902;5,3;5,7;721621;69014;5014
Früheres Bundesgebiet;2022;September;1910938;5,1;5,6;711672;90057;5408
Früheres Bundesgebiet;2022;Oktober;1874061;5,0;5,5;691568;112363;6721
Früheres Bundesgebiet;2022;November;1867028;5,0;5,5;673098;133746;7891
Früheres Bundesgebiet;2022;Dezember;1878275;5,0;5,5;637723;315899;36475
Früheres Bundesgebiet;2023;Januar;2001103;5,4;5,8;624821;358603;41412
Früheres Bundesgebiet;2023;Februar;2003180;5,4;5,9;635173;347767;38334
Früheres Bundesgebiet;2023;März;1982331;5,3;5,8;632792;316662;35082
Früheres Bundesgebiet;2023;April;1978976;5,3;5,8;629880;124388;6694
Früheres Bundesgebiet;2023;Mai;1948726;5,2;5,6;624817;126121;6563
Früheres Bundesgebiet;2023;Juni;1962087;5,2;5,7;627442;136604;6600
Früheres Bundesgebiet;2023;Juli;2010192;5,3;5,8;629794;94705;4823
Früheres Bundesgebiet;2023;August;2070181;5,5;6,0;628251;...;...
Früheres Bundesgebiet;2023;September;2018807;5,4;5,8;619981;...;...
Früheres Bundesgebiet;2023;Oktober;2001246;5,3;5,8;608628;...;...
Früheres Bundesgebiet;2023;November;2000309;5,3;5,8;595542;...;...
Früheres Bundesgebiet;2023;Dezember;2021431;5,4;5,8;578261;...;...
Früheres Bundesgebiet;2024;Januar;2148905;5,7;6,2;566846;-;-
Früheres Bundesgebiet;2024;Februar;...;...;...;...;-;-
Früheres Bundesgebiet;2024;März;...;...;...;...;-;-
Früheres Bundesgebiet;2024;April;...;...;...;...;-;-
Früheres Bundesgebiet;2024;Mai;...;...;...;...;-;-
Früheres Bundesgebiet;2024;Juni;...;...;...;...;-;-
Früheres Bundesgebiet;2024;Juli;...;...;...;...;-;-
Früheres Bundesgebiet;2024;August;...;...;...;...;-;-
Früheres Bundesgebiet;2024;September;...;...;...;...;-;-
Früheres Bundesgebiet;2024;Oktober;...;...;...;...;-;-
Früheres Bundesgebiet;2024;November;...;...;...;...;-;-
Früheres Bundesgebiet;2024;Dezember;...;...;...;...;-;-
Neue Länder;2015;Januar;871146;10,3;11,6;94245;70329;9055
Neue Länder;2015;Februar;864030;10,2;11,5;101086;77077;9778
Neue Länder;2015;März;834241;9,9;11,1;105698;59590;8312
Neue Länder;2015;April;798957;9,5;10,6;106059;11400;1048
Neue Länder;2015;Mai;766572;9,1;10,2;106656;9177;891
Neue Länder;2015;Juni;742429;8,8;9,9;109084;9844;857
Neue Länder;2015;Juli;754127;9,0;10,0;111636;7401;745
Neue Länder;2015;August;753543;9,0;10,0;113477;5861;620
Neue Länder;2015;September;729464;8,7;9,7;114581;8669;590
Neue Länder;2015;Oktober;719399;8,6;9,6;119372;10177;626
Neue Länder;2015;November;717411;8,5;9,5;118536;10128;691
Neue Länder;2015;Dezember;738619;8,8;9,8;115202;35434;4634
Neue Länder;2016;Januar;808966;9,6;10,7;114949;78963;10125
Neue Länder;2016;Februar;803719;9,6;10,7;121909;74838;9589
Neue Länder;2016;März;779617;9,3;10,4;126239;58967;8000
Neue Länder;2016;April;739726;8,8;9,8;127028;11842;871
Neue Länder;2016;Mai;709149;8,4;9,4;127909;10744;697
Neue Länder;2016;Juni;686460;8,2;9,1;129306;9650;636
Neue Länder;2016;Juli;690495;8,2;9,2;128914;6089;508
Neue Länder;2016;August;686649;8,2;9,1;131966;9633;526
Neue Länder;2016;September;665532;7,9;8,8;131326;9139;498
Neue Länder;2016;Oktober;651530;7,7;8,6;131046;9346;472
Neue Länder;2016;November;654527;7,8;8,7;129294;9569;526
Neue Länder;2016;Dezember;671263;8,0;8,9;127465;39195;5657
Neue Länder;2017;Januar;729654;8,7;9,7;125795;79523;10536
Neue Länder;2017;Februar;722699;8,6;9,6;131770;82143;10510
Neue Länder;2017;März;688026;8,2;9,1;135065;44843;7091
Neue Länder;2017;April;651985;7,7;8,6;136467;7496;478
Neue Länder;2017;Mai;626624;7,4;8,3;136620;6772;429
Neue Länder;2017;Juni;615512;7,3;8,1;138400;5991;391
Neue Länder;2017;Juli;620612;7,4;8,2;140697;5477;358
Neue Länder;2017;August;622085;7,4;8,2;142586;6816;351
Neue Länder;2017;September;601622;7,1;7,9;144319;6405;328
Neue Länder;2017;Oktober;591906;7,0;7,8;145434;6368;292
Neue Länder;2017;November;589566;7,0;7,8;145117;6908;311
Neue Länder;2017;Dezember;602227;7,1;8,0;143469;34228;5130
Neue Länder;2018;Januar;651960;7,7;8,6;140721;64979;8676
Neue Länder;2018;Februar;646549;7,7;8,5;146334;81693;10435
Neue Länder;2018;März;624291;7,4;8,2;148664;78609;10202
Neue Länder;2018;April;597993;7,1;7,9;149894;3803;315
Neue Länder;2018;Mai;577129;6,8;7,6;151733;2631;254
Neue Länder;2018;Juni;562568;6,6;7,4;152858;2904;260
Neue Länder;2018;Juli;571972;6,8;7,5;153139;4421;258
Neue Länder;2018;August;572251;6,8;7,5;153473;10665;294
Neue Länder;2018;September;549651;6,5;7,2;153041;8530;269
Neue Länder;2018;Oktober;539266;6,4;7,1;149843;8555;281
Neue Länder;2018;November;535719;6,3;7,0;148491;9452;329
Neue Länder;2018;Dezember;548107;6,5;7,2;145127;37950;5092
Neue Länder;2019;Januar;599130;7,1;7,9;142731;78832;9897
Neue Länder;2019;Februar;591149;7,0;7,8;151595;73758;9307
Neue Länder;2019;März;567987;6,7;7,5;156826;50328;7185
Neue Länder;2019;April;541283;6,4;7,1;154639;9634;412
Neue Länder;2019;Mai;537687;6,3;7,0;152906;10672;403
Neue Länder;2019;Juni;528653;6,2;6,9;153830;9060;391
Neue Länder;2019;Juli;538246;6,3;7,0;154414;10636;404
Neue Länder;2019;August;540858;6,4;7,1;152347;13444;460
Neue Länder;2019;September;521488;6,1;6,8;150644;13468;499
Neue Länder;2019;Oktober;517980;6,1;6,8;149269;15157;577
Neue Länder;2019;November;512791;6,0;6,7;144890;16362;653
Neue Länder;2019;Dezember;526679;6,2;6,9;136631;39758;4999
Neue Länder;2020;Januar;572880;6,8;7,5;134870;73822;8692
Neue Länder;2020;Februar;564181;6,6;7,4;139743;81199;9252
Neue Länder;2020;März;546439;6,4;7,1;143681;544738;81928
Neue Länder;2020;April;615324;7,3;8,0;132552;974264;124230
Neue Länder;2020;Mai;652641;7,7;8,5;126007;884671;107003
Neue Länder;2020;Juni;656376;7,7;8,5;125473;654689;79461
Neue Länder;2020;Juli;662716;7,8;8,6;125918;481543;61237
Neue Länder;2020;August;665463;7,8;8,7;126856;380297;52168
Neue Länder;2020;September;641882;7,5;8,4;126037;319985;45957
Neue Länder;2020;Oktober;625266;7,4;8,1;127121;289226;43127
Neue Länder;2020;November;616871;7,3;8,0;126907;382662;59365
Neue Länder;2020;Dezember;625253;7,3;8,1;120218;497521;78454
Neue Länder;2021;Januar;672263;7,9;8,8;118752;645216;97725
Neue Länder;2021;Februar;675905;7,9;8,8;121638;679401;101941
Neue Länder;2021;März;661462;7,8;8,6;126136;540051;84012
Neue Länder;2021;April;648434;7,6;8,4;128958;448337;72211
Neue Länder;2021;Mai;628074;7,4;8,1;132823;410186;67591
Neue Länder;2021;Juni;605183;7,1;7,9;140947;286190;48639
Neue Länder;2021;Juli;598864;7,0;7,8;147520;187416;31724
Neue Länder;2021;August;590995;6,9;7,7;153287;153083;26169
Neue Länder;2021;September;568840;6,7;7,4;155363;145202;22886
Neue Länder;2021;Oktober;551007;6,5;7,1;157730;130331;20262
Neue Länder;2021;November;538130;6,3;7,0;157249;141478;23023
Neue Länder;2021;Dezember;549130;6,4;7,1;151445;207199;35930
Neue Länder;2022;Januar;582691;6,8;7,6;152323;262362;40475
Neue Länder;2022;Februar;576945;6,8;7,5;158995;246008;39039
Neue Länder;2022;März;562454;6,6;7,3;161205;195918;31163
